id,title,city,location,beds_number,bathrooms,price,living_area,land_area,parking_places,distance_from_sea,new_construction,air_conditioning,link,mobile_phone,last_update,published_by
3268008 (96931),Prodajem Kuću,Rovinj,"Rovinj, Žminj",3,3,581000.0,173.0,800.0,0,0,False,False,https://www.realitica.com/hr/listing/3268008,+385 91 3573071,"12 Apr, 2024",adrionika
3259706 (ALG-2588),Prodajem Kuću,Poreč,"Poreč, Hrvatska",0,0,580000.0,435.0,0.0,0,0,False,False,https://www.realitica.com/hr/listing/3259706,+385953631892,"3 Apr, 2024",AlphaLuxeGroup
2654550 (ALG-355),Prodajem Kuću,Poreč,"Poreč, Hrvatska",3,0,580000.0,180.0,0.0,0,0,False,False,https://www.realitica.com/hr/listing/2654550,+385953631892,"2 Apr, 2022",AlphaLuxeGroup
3098213 (ALG-2181),Prodajem Kuću,Poreč,"Poreč, Hrvatska",3,0,580000.0,160.0,0.0,0,0,False,False,https://www.realitica.com/hr/listing/3098213,+385953631892,"12 Sep, 2023",AlphaLuxeGroup
2845251 (ALG-921),Prodajem Kuću,Fažana,"Fažana, Hrvatska",4,0,576000.0,180.0,0.0,0,0,False,False,https://www.realitica.com/hr/listing/2845251,+385953631892,"30 Aug, 2022",AlphaLuxeGroup
3183817 (ALG-2386),Prodajem Kuću,Labin,"Labin, Hrvatska",4,0,571000.0,174.0,0.0,0,0,False,False,https://www.realitica.com/hr/listing/3183817,+385953631892,"15 Jan, 2024",AlphaLuxeGroup
2765010 (ALG-490),Prodajem Kuću,Poreč,"Poreč, Hrvatska",3,0,571000.0,158.0,0.0,0,0,False,False,https://www.realitica.com/hr/listing/2765010,+385953631892,"18 Apr, 2022",AlphaLuxeGroup
3266811,Prodajem Kuću,Žminj,,0,0,571000.0,0.0,0.0,0,0,False,False,https://www.realitica.com/hr/listing/3266811,+38552210824,"11 Apr, 2024",diamond
3011205 (ALG-1184),Prodajem Kuću,Poreč,"Poreč, Hrvatska",4,0,570700.0,180.0,0.0,0,0,False,False,https://www.realitica.com/hr/listing/3011205,+385953631892,"2 May, 2023",AlphaLuxeGroup
3025432 (ALG-1633),Prodajem Kuću,Kaštelir-Labinci,"Kaštelir, Hrvatska",4,0,570000.0,214.0,0.0,0,0,False,False,https://www.realitica.com/hr/listing/3025432,+385953631892,"23 May, 2023",AlphaLuxeGroup
2856328 (ALG-1209),Prodajem Kuću,Poreč,"Poreč, Hrvatska",4,0,570000.0,199.0,0.0,0,0,False,False,https://www.realitica.com/hr/listing/2856328,+385953631892,"11 Sep, 2022",AlphaLuxeGroup
3178097 (ALG-2390),Prodajem Kuću,Svetvinčenat,"Svetvinčenat, Hrvatska",3,0,570000.0,180.0,0.0,0,0,False,False,https://www.realitica.com/hr/listing/3178097,+385953631892,"5 Jan, 2024",AlphaLuxeGroup
3185555 (ALG-2449),Prodajem Kuću,Motovun,"Motovun, Hrvatska",2,0,570000.0,162.0,0.0,0,0,False,False,https://www.realitica.com/hr/listing/3185555,+385953631892,"17 Jan, 2024",AlphaLuxeGroup
3267997 (96877),Prodajem Kuću,Pula,"Pula, Barban",3,3,570000.0,160.0,600.0,0,0,False,False,https://www.realitica.com/hr/listing/3267997,+385 91 3573071,"12 Apr, 2024",adrionika
2845236 (ALG-873),Prodajem Kuću,Kršan,"Kršan, Hrvatska",3,0,570000.0,130.0,0.0,0,0,False,False,https://www.realitica.com/hr/listing/2845236,+385953631892,"30 Aug, 2022",AlphaLuxeGroup
3009804 (ALG-1339),Prodajem Kuću,Marčana,"Marčana, Hrvatska",4,0,569000.0,170.0,0.0,0,0,False,False,https://www.realitica.com/hr/listing/3009804,+385953631892,"28 Apr, 2023",AlphaLuxeGroup
3017714 (ALG-1559),Prodajem Kuću,Vodnjan,"Vodnjan, Hrvatska",4,0,565000.0,254.0,0.0,0,0,False,False,https://www.realitica.com/hr/listing/3017714,+385953631892,"11 May, 2023",AlphaLuxeGroup
3009812 (ALG-1347),Prodajem Kuću,Barban,"Barban, Hrvatska",6,0,565000.0,250.0,0.0,0,0,False,False,https://www.realitica.com/hr/listing/3009812,+385953631892,"28 Apr, 2023",AlphaLuxeGroup
3263957 (XML-4517-495094),Prodajem Građevinsko Zemljište,Kanfanar,"Kanfanar,Croatia",0,0,565000.0,0.0,6852.0,0,0,False,False,https://www.realitica.com/hr/listing/3263957,+385989842659,"8 Apr, 2024",medom
2856317 (ALG-1035),Prodajem Kuću,Pula,"Pula, Hrvatska",5,0,550000.0,400.0,0.0,0,0,False,False,https://www.realitica.com/hr/listing/2856317,+385953631892,"11 Sep, 2022",AlphaLuxeGroup
3257208 (17265),Prodajem Kuću,Fažana,"Fažana, Hrvatska",7,4,550000.0,230.0,611.0,0,0,False,False,https://www.realitica.com/hr/listing/3257208,+385916115706,"29 Mar, 2024",ALMA
3009942 (ALG-1487),Prodajem Kuću,Labin,"Labin, Hrvatska",3,0,550000.0,210.0,0.0,0,0,False,False,https://www.realitica.com/hr/listing/3009942,+385953631892,"28 Apr, 2023",AlphaLuxeGroup
3166046 (ALG-2125),Prodajem Kuću,Motovun,"Motovun, Hrvatska",4,0,550000.0,208.0,0.0,0,0,False,False,https://www.realitica.com/hr/listing/3166046,+385953631892,"15 Dec, 2023",AlphaLuxeGroup
2772163 (ALG-752),Prodajem Kuću,Labin,"Labin, Hrvatska",3,0,550000.0,205.0,0.0,0,0,False,False,https://www.realitica.com/hr/listing/2772163,+385953631892,"3 May, 2022",AlphaLuxeGroup
3201435 (ALG-2381),Prodajem Kuću,Kaštelir-Labinci,"Kaštelir, Hrvatska",3,0,550000.0,200.0,0.0,0,0,False,False,https://www.realitica.com/hr/listing/3201435,+385953631892,"3 Feb, 2024",AlphaLuxeGroup
3181478 (ALG-2408),Prodajem Kuću,Labin,"Labin, Hrvatska",4,0,550000.0,143.0,0.0,0,0,False,False,https://www.realitica.com/hr/listing/3181478,+385953631892,"11 Jan, 2024",AlphaLuxeGroup
3017703 (ALG-1540),Prodajem Kuću,Poreč,"Poreč, Hrvatska",3,0,550000.0,130.0,0.0,0,0,False,False,https://www.realitica.com/hr/listing/3017703,+385953631892,"11 May, 2023",AlphaLuxeGroup
3009808 (ALG-1343),Prodajem Kuću,Labin,"Labin, Hrvatska",3,0,545000.0,225.0,0.0,0,0,False,False,https://www.realitica.com/hr/listing/3009808,+385953631892,"28 Apr, 2023",AlphaLuxeGroup
3190808 (ALG-2474),Prodajem Kuću,Poreč,"Poreč, Hrvatska",4,0,545000.0,176.0,0.0,0,0,False,False,https://www.realitica.com/hr/listing/3190808,+385953631892,"24 Jan, 2024",AlphaLuxeGroup
3011200 (ALG-1153),Prodajem Kuću,Marčana,"Marčana, Hrvatska",3,0,540000.0,206.0,0.0,0,0,False,False,https://www.realitica.com/hr/listing/3011200,+385953631892,"2 May, 2023",AlphaLuxeGroup
3166057 (ALG-2344),Prodajem Kuću,Marčana,"Marčana, Hrvatska",4,0,540000.0,170.0,0.0,0,0,False,False,https://www.realitica.com/hr/listing/3166057,+385953631892,"15 Dec, 2023",AlphaLuxeGroup
2974404 (ALG-1246),Prodajem Kuću,Marčana,"Marčana, Hrvatska",3,0,540000.0,166.0,0.0,0,0,False,False,https://www.realitica.com/hr/listing/2974404,+385953631892,"10 Mar, 2023",AlphaLuxeGroup
3154640 (ALG-2289),Prodajem Kuću,Tinjan,"Tinjan, Hrvatska",3,0,539500.0,145.0,0.0,0,0,False,False,https://www.realitica.com/hr/listing/3154640,+385953631892,"30 Nov, 2023",AlphaLuxeGroup
3021775 (ALG-1603),Prodajem Stan-Apartman,Poreč,"Poreč, Hrvatska",3,0,535550.0,147.0,0.0,0,0,False,False,https://www.realitica.com/hr/listing/3021775,+385953631892,"17 May, 2023",AlphaLuxeGroup
3232321 (ALG-2401),Prodajem Kuću,Kanfanar,"Kanfanar, Hrvatska",5,0,530000.0,291.0,0.0,0,0,False,False,https://www.realitica.com/hr/listing/3232321,+385953631892,"6 Mar, 2024",AlphaLuxeGroup
3026359 (ALG-1640),Prodajem Kuću,Višnjan,"Višnjan, Hrvatska",4,0,530000.0,200.0,0.0,0,0,False,False,https://www.realitica.com/hr/listing/3026359,+385953631892,"24 May, 2023",AlphaLuxeGroup
3015839 (ALG-1508),Prodajem Kuću,Ližnjan,"Ližnjan, Hrvatska",7,0,530000.0,200.0,0.0,0,0,False,False,https://www.realitica.com/hr/listing/3015839,+385953631892,"9 May, 2023",AlphaLuxeGroup
2856865 (ALG-906),Prodajem Kuću,Poreč,"Poreč, Hrvatska",4,0,530000.0,192.0,0.0,0,0,False,False,https://www.realitica.com/hr/listing/2856865,+385953631892,"12 Sep, 2022",AlphaLuxeGroup
2832217 (ALG-1066),Prodajem Kuću,Poreč,"Poreč, Hrvatska",3,0,530000.0,165.0,0.0,0,0,False,False,https://www.realitica.com/hr/listing/2832217,+385953631892,"5 Aug, 2022",AlphaLuxeGroup
3009802 (ALG-1337),Prodajem Kuću,Pula,"Pula, Hrvatska",3,0,530000.0,162.0,0.0,0,0,False,False,https://www.realitica.com/hr/listing/3009802,+385953631892,"28 Apr, 2023",AlphaLuxeGroup
2845250 (ALG-920),Prodajem Kuću,Labin,"Labin, Hrvatska",4,0,530000.0,162.0,0.0,0,0,False,False,https://www.realitica.com/hr/listing/2845250,+385953631892,"30 Aug, 2022",AlphaLuxeGroup
3009815 (ALG-1350),Prodajem Kuću,Poreč,"Poreč, Hrvatska",3,0,530000.0,150.0,0.0,0,0,False,False,https://www.realitica.com/hr/listing/3009815,+385953631892,"28 Apr, 2023",AlphaLuxeGroup
2832197 (ALG-933),Prodajem Kuću,Labin,"Labin, Hrvatska",4,0,525000.0,192.0,0.0,0,0,False,False,https://www.realitica.com/hr/listing/2832197,+385953631892,"5 Aug, 2022",AlphaLuxeGroup
3188935 (ALG-2391),Prodajem Kuću,Vodnjan,"Vodnjan, Hrvatska",4,0,520000.0,200.0,0.0,0,0,False,False,https://www.realitica.com/hr/listing/3188935,+385953631892,"22 Jan, 2024",AlphaLuxeGroup
3009772 (ALG-1291),Prodajem Kuću,Pula,"Pula, Hrvatska",3,0,520000.0,190.0,0.0,0,0,False,False,https://www.realitica.com/hr/listing/3009772,+385953631892,"28 Apr, 2023",AlphaLuxeGroup
3023517 (ALG-374),Prodajem Kuću,Poreč,"Poreč, Hrvatska",3,0,520000.0,168.0,0.0,0,0,False,False,https://www.realitica.com/hr/listing/3023517,+385953631892,"19 May, 2023",AlphaLuxeGroup
3015849 (ALG-1518),Prodajem Kuću,Medulin,"Medulin, Hrvatska",3,0,520000.0,165.0,0.0,0,0,False,False,https://www.realitica.com/hr/listing/3015849,+385953631892,"9 May, 2023",AlphaLuxeGroup
